Tanggal,Temperatur Avg,Kelembaban Avg,Kecepatan Angin Avg,Curah Hujan,Hari Hujan,Penyinaran Matahari Avg
2019-01,27.57,83.19,2.55,620.74,28,3.99
2019-02,27.85,81.25,2.04,312.58,25,6.17
2019-03,27.94,81.71,1.94,474.43,22,5.28
2019-04,28.51,80.40,1.40,459.97,24,5.50
2019-05,28.82,76.90,1.84,59.40,4,8.04
2019-06,27.83,77.07,1.70,115.25,12,6.55
2019-07,27.32,72.48,1.87,13.21,4,8.83
2019-08,27.55,69.26,2.00,0.00,0,8.98
2019-09,27.97,78.27,2.00,10.91,1,9.38
2019-10,29.09,71.90,2.06,10.91,1,9.89
2019-11,29.14,75.40,2.03,106.02,9,9.08
2019-12,28.84,79.71,1.87,312.43,23,6.63
2020-01,28.23,82.77,2.23,616.64,25,5.62
2020-02,27.76,85.28,1.90,581.84,29,3.14
2020-03,28.26,80.10,1.90,352.18,24,6.00
2020-04,28.30,79.23,1.93,220.10,21,6.37
2020-05,28.51,78.74,1.87,281.20,17,6.58
2020-06,28.37,76.33,1.70,105.83,12,7.07
2020-07,28.16,76.74,1.90,62.95,10,7.35
2020-08,28.53,71.77,2.06,201.87,19,9.11
2020-09,28.50,75.27,2.03,216.89,23,7.44
2020-10,29.12,72.81,2.10,217.35,21,8.04
2020-11,28.88,78.07,1.93,302.45,21,6.69
2020-12,27.06,86.00,2.10,975.13,30,2.74
2021-01,26.88,86.90,2.26,1205.91,31,2.47
2021-02,27.46,84.21,2.04,467.03,21,4.18
2021-03,27.47,85.35,1.97,723.54,29,5.21
2021-04,28.09,81.73,2.10,604.96,26,6.60
2021-05,28.51,78.68,1.71,228.65,22,6.66
2021-06,28.16,79.37,1.87,239.05,27,7.61
2021-07,27.77,81.68,1.77,239.38,28,5.48
2021-08,28.26,76.16,1.90,118.55,13,8.11
2021-09,28.49,76.67,1.80,169.15,14,6.61
2021-10,28.56,79.16,1.81,173.16,23,7.27
2021-11,28.09,81.30,1.93,382.25,27,5.97
2021-12,27.32,84.06,2.16,996.73,27,3.66